date,department,new_inpatient_admissions,new_outpatients,new_icu_admissions,post_op_complications,complications_rate,avg_length_of_stay,patients_per_doctor,consultations_per_shift,patient_satisfaction_score,bed_occupancy,diagnosis_name,diagnosis_inpatient_volume,diagnosis_outpatient_volume,diagnosis_cost,readmissions,readmission_rate,nurse_to_patient_ratio,ot_slots_available,ot_slots_used,ot_utilization_rate,ed_visit_volume,ed_wait_time
1-Jan-2025,General Medicine,10,0,0,0,0,3.7,15,5,4,92,Sepsis,10,0,72900,1,10,0.18,0,0,0,64,83
1-Jan-2025,General Medicine,10,0,1,0,0,6.4,24,8,4.54,91,Hypertension Crisis,10,0,77170,0,0,0.18,0,0,0,49,68
1-Jan-2025,General Medicine,8,0,1,1,12.5,4.8,22,5,3.7,85,Pneumonia,8,0,55176,0,0,0.3,0,0,0,59,89
1-Jan-2025,General Medicine,0,44,0,0,0,0.5,23,10,4.12,93,Diabetes,0,44,66000,0,0,0.31,0,0,0,88,84
1-Jan-2025,General Medicine,0,11,0,0,0,1.3,17,5,3.98,72,Hypertension,0,11,16500,0,0,0.28,0,0,0,45,87
1-Jan-2025,General Medicine,8,22,0,0,0,5.2,19,9,3.79,69,Fever,8,22,86000,1,12.5,0.23,0,0,0,64,11
1-Jan-2025,General Medicine,0,32,0,0,0,1.5,28,10,4.04,71,Anemia,0,32,48000,0,0,0.22,0,0,0,71,94
1-Jan-2025,General Surgery,8,0,1,1,12.5,4,13,11,4.81,92,Appendicitis,8,0,101544,1,12.5,0.3,14,5,35.71,11,29
1-Jan-2025,General Surgery,18,0,3,3,16.67,4.6,26,10,4.57,77,Gallstones,18,0,253242,2,11.11,0.19,11,1,9.09,5,54
1-Jan-2025,General Surgery,4,0,0,1,25,4.8,13,7,3.91,72,Hernia,4,0,49624,1,25,0.24,12,6,50,8,15
1-Jan-2025,General Surgery,0,24,0,0,0,1.7,18,8,3.6,82,Wound Care,0,24,48000,0,0,0.29,10,2,20,18,45
1-Jan-2025,General Surgery,0,30,0,0,0,1.6,16,4,3.69,66,Surgical Consult,0,30,60000,0,0,0.29,11,5,45.45,11,6
1-Jan-2025,General Surgery,10,0,0,1,10,7.2,13,6,4.06,91,Post-op Infection,10,0,110850,1,10,0.22,11,9,81.82,7,11
1-Jan-2025,Nephrology,20,0,2,0,0,4.4,18,9,4.29,83,CKD,20,0,187020,3,15,0.2,0,0,0,18,39
1-Jan-2025,Nephrology,4,0,0,1,25,3.6,27,4,4.41,90,AKI,4,0,34036,1,25,0.19,0,0,0,24,15
1-Jan-2025,Nephrology,0,33,0,0,0,1.4,13,7,4.72,89,Hemodialysis,0,33,59400,0,0,0.26,0,0,0,13,27
1-Jan-2025,Nephrology,4,11,0,1,25,3.2,23,8,4.81,85,UTI,4,11,52904,0,0,0.19,0,0,0,16,26
1-Jan-2025,Nephrology,4,0,0,0,0,5.2,27,9,3.53,83,Renal Calculi,4,0,46808,0,0,0.29,0,0,0,15,30
1-Jan-2025,Nephrology,0,15,0,0,0,2,22,9,4.85,74,Follow-up Nephropathy,0,15,27000,0,0,0.31,0,0,0,18,57
1-Jan-2025,Neurology,15,0,2,2,13.33,6.5,21,8,4.53,93,Stroke,15,0,150825,0,0,0.2,0,0,0,24,7
1-Jan-2025,Neurology,9,19,0,1,11.11,4.4,23,6,3.86,87,Epilepsy,9,19,163912,1,11.11,0.31,0,0,0,23,24
1-Jan-2025,Neurology,0,48,0,0,0,1.9,15,5,3.57,75,Migraine,0,48,105600,0,0,0.26,0,0,0,23,48
1-Jan-2025,Neurology,0,30,0,0,0,0.8,20,11,3.95,81,Neuropathy,0,30,66000,0,0,0.2,0,0,0,19,17
1-Jan-2025,Neurology,15,0,2,2,13.33,3.9,25,8,4.35,95,Meningitis,15,0,196380,2,13.33,0.2,0,0,0,14,40
1-Jan-2025,Neurology,0,10,0,0,0,0.8,14,8,3.73,84,Parkinsonism,0,10,22000,0,0,0.19,0,0,0,23,25
1-Jan-2025,Gynecology & OBG,15,0,1,0,0,6.5,19,9,4.5,71,Normal Delivery,15,0,119430,1,6.67,0.27,7,4,57.14,22,13
1-Jan-2025,Gynecology & OBG,10,0,1,1,10,3.6,16,7,4.13,76,C-Section,10,0,86530,1,10,0.25,14,14,100,22,47
1-Jan-2025,Gynecology & OBG,0,24,0,0,0,1.1,28,5,4.47,85,PCOS,0,24,48000,0,0,0.24,7,6,85.71,13,37
1-Jan-2025,Gynecology & OBG,0,31,0,0,0,0.9,21,8,3.87,73,Antenatal Checkup,0,31,62000,0,0,0.27,11,1,9.09,10,31
1-Jan-2025,Gynecology & OBG,16,0,2,0,0,5.4,22,6,4.46,78,Fibroid Uterus,16,0,173424,2,12.5,0.27,12,4,33.33,11,39
1-Jan-2025,Gynecology & OBG,0,41,0,0,0,1.3,28,11,4.11,89,Menstrual Disorder,0,41,82000,0,0,0.27,7,1,14.29,16,44
1-Jan-2025,Pediatrics,11,24,0,1,9.09,4.5,25,11,4.16,83,Asthma,11,24,105797,1,9.09,0.31,0,0,0,38,111
1-Jan-2025,Pediatrics,0,23,0,0,0,1.2,16,10,4.03,68,Fever,0,23,36800,0,0,0.19,0,0,0,38,29
1-Jan-2025,Pediatrics,10,8,1,0,0,4.3,20,10,4.43,92,Diarrhea,10,8,76730,1,10,0.22,0,0,0,31,72
1-Jan-2025,Pediatrics,17,0,3,0,0,5,23,4,3.9,81,Pneumonia,17,0,122740,1,5.88,0.3,0,0,0,43,20
1-Jan-2025,Pediatrics,9,0,0,1,11.11,7.1,28,12,4.87,68,Malnutrition,9,0,63360,1,11.11,0.26,0,0,0,75,42
1-Jan-2025,Pediatrics,0,42,0,0,0,0.6,15,7,4.25,87,Anemia,0,42,67200,0,0,0.24,0,0,0,54,120
1-Jan-2025,Orthopedics,18,0,1,1,5.56,5.9,14,8,3.65,76,Fracture,18,0,223902,1,5.56,0.32,9,4,44.44,14,26
1-Jan-2025,Orthopedics,0,36,0,0,0,1.3,16,10,3.98,86,Osteoarthritis,0,36,75600,0,0,0.3,5,1,20,8,45
1-Jan-2025,Orthopedics,0,26,0,0,0,1.1,13,5,3.62,65,Back Pain,0,26,54600,0,0,0.28,15,7,46.67,18,25
1-Jan-2025,Orthopedics,14,0,2,0,0,3.7,15,8,4.82,93,Joint Replacement,14,0,222838,2,14.29,0.24,15,6,40,20,46
1-Jan-2025,Orthopedics,11,13,1,0,0,4.3,12,9,3.99,80,Sports Injury,11,13,214949,0,0,0.27,5,4,80,15,26
