date,employee_id,department,role,staff_category,gender,age,tenure_years,shift_type,overtime_hours,absent_flag,training_hours,employee_satisfaction,avg_pay
1-Jan-2025,GM-DOC-001,General Medicine,Doctor,Agency,Male,32,9.8,Day,2.1,0,0,7.5,124443
1-Jan-2025,GM-DOC-002,General Medicine,Doctor,Contract,Male,52,10.6,Rotational,1.9,0,0,7.4,149553
1-Jan-2025,GM-DOC-003,General Medicine,Doctor,Agency,Male,44,2.2,Rotational,3.5,0,0,8.4,90712
1-Jan-2025,GM-NUR-001,General Medicine,Nurse,Agency,Female,48,12.8,Night,0.2,0,0,9.3,76440
1-Jan-2025,GM-NUR-002,General Medicine,Nurse,Contract,Male,35,9.8,Day,3.1,0,0,7.2,74868
1-Jan-2025,GM-NUR-003,General Medicine,Nurse,Contract,Male,39,8.3,Rotational,2.4,0,0,8.7,55149
1-Jan-2025,GM-NUR-004,General Medicine,Nurse,Agency,Male,29,1.5,Night,3,0,0,9.9,59105
1-Jan-2025,GM-NUR-005,General Medicine,Nurse,FTE,Male,59,28.4,Rotational,2,0,0,7.3,95083
1-Jan-2025,GM-NUR-006,General Medicine,Nurse,Contract,Female,34,4,Day,2.9,0,0,7,73017
1-Jan-2025,GM-NUR-007,General Medicine,Nurse,Contract,Male,55,14.4,Day,1,0,0,6.3,72174
1-Jan-2025,GM-TEC-001,General Medicine,Technician,FTE,Female,52,16.5,Night,0.9,0,0,6.7,64746
1-Jan-2025,GM-TEC-002,General Medicine,Technician,Contract,Female,43,4,Rotational,2.3,0,0,8.5,63291
1-Jan-2025,GM-TEC-003,General Medicine,Technician,Agency,Female,54,30.6,Rotational,0.1,0,0,7.9,75851
1-Jan-2025,GM-TEC-004,General Medicine,Technician,FTE,Female,46,23,Day,3.7,0,0,9.6,59242
1-Jan-2025,GM-ADM-001,General Medicine,Admin,Agency,Female,29,2.6,Rotational,1.6,0,0,8.3,40519
1-Jan-2025,GM-ADM-002,General Medicine,Admin,FTE,Male,37,5.2,Rotational,3.7,0,0,10,40153
1-Jan-2025,GM-ADM-003,General Medicine,Admin,FTE,Male,44,15.9,Day,2,0,0,9,65544
1-Jan-2025,GS-DOC-001,General Surgery,Doctor,FTE,Male,40,4.6,Day,3.7,0,0,7.2,116125
1-Jan-2025,GS-DOC-002,General Surgery,Doctor,Agency,Male,33,10,Rotational,2.4,0,0,7.1,134291
1-Jan-2025,GS-DOC-003,General Surgery,Doctor,Agency,Male,40,10,Day,2.6,0,0,7.1,112746
