date,department,test_type,tests_conducted,avg_tat,cost_per_test,total_cost,rejected_tests,rejection_reasons,patient_satisfaction,instrument_name,instrument_utilization
1-Jan-2025,Cardiology,ECG,7,15,300,2100,1,Insufficient Volume,4.2,ECG Machine,76.86
1-Jan-2025,Cardiology,Echocardiogram,10,45,2000,20000,1,Contaminated Sample,3.3,ECG Machine,76.19
1-Jan-2025,Cardiology,Lipid Profile,7,180,600,4200,0,Unknown,3.5,Biochemistry Analyzer,71.42
1-Jan-2025,Cardiology,Troponin,14,60,700,9800,2,"Expired Reagent,Insufficient Volume",4.3,Hematology Analyzer,76.63
1-Jan-2025,General Medicine,Blood Sugar,11,30,100,1100,0,Unknown,3,Hematology Analyzer,73.45
1-Jan-2025,General Medicine,CBC,8,60,200,1600,1,Insufficient Volume,3.4,Hematology Analyzer,85.12
1-Jan-2025,General Medicine,LFT,5,120,400,2000,0,Unknown,4,Hematology Analyzer,85.16
1-Jan-2025,General Medicine,Lipid Profile,7,180,600,4200,1,Insufficient Volume,4.3,Biochemistry Analyzer,75.75
1-Jan-2025,General Medicine,Urine Routine,8,90,150,1200,0,Unknown,3.8,Hematology Analyzer,85.98
1-Jan-2025,General Surgery,CBC,9,60,200,1800,0,Unknown,4,Hematology Analyzer,71.25
1-Jan-2025,General Surgery,Coagulation Profile,13,150,500,6500,0,Unknown,4.4,Hematology Analyzer,78.09
1-Jan-2025,General Surgery,Crossmatch,9,240,800,7200,1,Contaminated Sample,4.8,Biochemistry Analyzer,77.02
1-Jan-2025,General Surgery,LFT,16,120,400,6400,0,Unknown,4.2,Biochemistry Analyzer,69.47
1-Jan-2025,Gynecology & OBG,CBC,5,60,200,1000,0,Unknown,4.2,Biochemistry Analyzer,78.99
1-Jan-2025,Gynecology & OBG,Hormone Panel,17,180,1500,25500,0,Unknown,4.2,Hematology Analyzer,77.23
1-Jan-2025,Gynecology & OBG,Pregnancy Test,10,20,250,2500,0,Unknown,3.2,Biochemistry Analyzer,80.63
1-Jan-2025,Gynecology & OBG,Ultrasound,9,45,1200,10800,1,Contaminated Sample,3.5,Ultrasound Machine,76.07
