date,department,prescriptions_dispensed,pharmacy_revenue,revenue_per_prescription,revenue_per_user,avg_dispensing_time,turnaround_time,top_drug_name,top_drug_volume,top_drug_cost,high_cost_drug_name,high_cost_drug_utilization,high_cost_drug_cost,dispensing_errors,near_miss_events,medication_alerts,patient_satisfaction_score
1-Jan-2025,General Medicine,348,102312,294,673.1052632,10,30,Amlodipine,70,4550,Metformin,22,16148,0,0,2,3.79
1-Jan-2025,General Surgery,42,19866,473,709.5,13.6,24.6,Pantoprazole,10,1810,Pantoprazole,3,1830,0,0,0,4.08
1-Jan-2025,Nephrology,77,76076,988,1383.2,18.4,30.4,Sevelamer,22,3498,Erythropoietin,4,2456,0,0,0,4.31
1-Jan-2025,Neurology,110,53570,487,1050.392157,5.8,19.8,Aspirin,13,1222,Sodium Valproate,2,2364,0,0,1,4.25
1-Jan-2025,Gynecology & OBG,76,22192,292,396.2857143,9.1,28.1,Calcium,13,689,Iron-Folic Acid,2,1194,0,0,0,3.77
1-Jan-2025,Pediatrics,231,117810,510,818.125,5.1,29.1,ORS,36,6660,ORS,7,9205,0,0,1,3.51
1-Jan-2025,Orthopedics,36,17928,498,747,13.3,42.3,Vitamin D3,5,890,Vitamin D3,1,650,0,0,0,4.46
1-Jan-2025,Cardiology,192,263808,1374,1939.764706,17.7,39.7,Clopidogrel,24,2544,Atorvastatin,3,4425,0,0,1,3.65
1-Jan-2025,Pulmonology,68,28356,417,834,13.8,36.8,Azithromycin,17,1190,Montelukast,3,5979,0,0,0,4.03
2-Jan-2025,General Medicine,325,93925,289,647.7586207,12.4,28.4,Amlodipine,54,3402,Amoxicillin,23,25070,0,0,3,3.98
2-Jan-2025,General Surgery,40,33360,834,1042.5,19.2,34.2,Pantoprazole,8,1088,Tramadol,4,4400,0,0,0,3.79
2-Jan-2025,Nephrology,202,241390,1195,2540.947368,8.1,34.1,Sevelamer,40,2680,Erythropoietin,7,11998,0,0,1,3.9
2-Jan-2025,Neurology,131,51221,391,602.6,15.6,32.6,Aspirin,36,4356,Levetiracetam,1,512,0,0,1,3.68
2-Jan-2025,Gynecology & OBG,125,76000,608,894.1176471,15.7,36.7,Metronidazole,24,768,Calcium,8,8896,0,0,1,4.03
2-Jan-2025,Pediatrics,183,79422,434,684.6724138,15.1,24.1,Salbutamol,26,2600,Amoxicillin Syrup,10,15990,0,0,0,3.84
